OTU_total	Phylum	Class	Order	Family	Genus	OTU	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T7_1	T7_2	T7_3	T7_4	T7_5	T7_6	DF_1	DF_2	DF_3	DF_4	DF_5	CF_1	CF_2	CF_3	CF_4	CF_5	CF_6
Otu4337	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4807	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4338	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	unclassified	Otu4808	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4339	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4809	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4340	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4810	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4341	Firmicutes	Bacilli	unclassified	unclassified	unclassified	Otu4811	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4342	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4813	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4343	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Otu4816	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4344	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu4819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4345	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4346	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4821	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4347	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Otu4822	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4348	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4349	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4350	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4825	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4351	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4352	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu4827	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4353	Actinobacteria	Actinobacteria	Rubrobacteridae	unclassified	unclassified	Otu4828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4354	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4829	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4355	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Otu4830	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4356	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu4832	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4357	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	unclassified	Otu4836	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4358	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Otu4837	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4359	Verrucomicrobia	Spartobacteria	unclassified	unclassified	unclassified	Otu4838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4360	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4361	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4840	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4362	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Otu4842	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4363	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4364	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu4845	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4365	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4846	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu4366	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4367	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	Otu4852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4368	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4369	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4370	Candidate_division_TM7	unclassified	unclassified	unclassified	unclassified	Otu4856	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4371	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Otu4857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4372	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4373	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Otu4859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4374	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4375	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Otu4863	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4376	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	uncultured	Otu4866	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4377	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu4867	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4378	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu4870	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4379	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	Otu4871	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4380	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu4872	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4381	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4873	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4382	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cytophagaceae	Spirosoma	Otu4874	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4383	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu4876	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4384	Proteobacteria	Alphaproteobacteria	Rhodospirillales	wr0007	unclassified	Otu4880	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4385	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu4881	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4386	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4882	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4387	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4884	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4388	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu4887	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4389	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4891	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4390	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu4892	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4391	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4895	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4392	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4899	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4393	Verrucomicrobia	Spartobacteria	unclassified	unclassified	unclassified	Otu4900	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4394	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4901	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4395	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	unclassified	Otu4904	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4396	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu4905	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4397	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4906	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4398	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu4908	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4399	Proteobacteria	unclassified	unclassified	unclassified	unclassified	Otu4909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4400	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	Otu4910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4401	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4912	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4402	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu4913	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4403	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Propionibacterineae	Otu4915	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4404	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu4919	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4405	Cyanobacteria	WD272	unclassified	unclassified	unclassified	Otu4920	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4406	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4407	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	Otu4926	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4408	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4927	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4409	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4928	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4410	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4411	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu4931	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4412	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4933	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4413	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4934	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4414	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	Otu4937	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4415	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4938	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4416	Proteobacteria	Alphaproteobacteria	unclassified	unclassified	unclassified	Otu4941	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4417	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu4942	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4418	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	Otu4943	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4419	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4944	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4420	Chloroflexi	Chloroflexi	Chloroflexales	Chloroflexaceae	Roseiflexus	Otu4945	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4421	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Otu4946	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4422	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Flavisolibacter	Otu4949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4423	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Otu4950	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4424	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cytophagaceae	Spirosoma	Otu4951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4425	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Otu4952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4426	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4427	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu4956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4428	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu4959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4429	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4960	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4430	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Otu4961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4431	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu4963	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4432	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4433	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Otu4966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4434	Verrucomicrobia	Spartobacteria	unclassified	unclassified	unclassified	Otu4967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4435	Chloroflexi	unclassified	unclassified	unclassified	unclassified	Otu4968	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4436	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4969	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4437	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu4970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4438	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu4971	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4439	Actinobacteria	Actinobacteria	unclassified	unclassified	unclassified	Otu4972	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4440	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu4973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4441	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu4977	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4442	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Otu4978	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4443	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4980	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4444	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	Otu4981	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4445	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4982	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4446	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu4983	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4447	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Otu4985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4448	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4449	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4987	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4450	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu4988	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4451	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4992	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4452	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4453	unclassified	unclassified	unclassified	unclassified	unclassified	Otu4995	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4454	Candidate_division_TM6	unclassified	unclassified	unclassified	unclassified	Otu4996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4455	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacteriaceae	Otu4997	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4456	Planctomycetes	Phycisphaerae	WD2101	unclassified	unclassified	Otu4999	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4457	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4458	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5006	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4459	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Otu5010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4460	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Streptosporangineae	Otu5011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4461	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Otu5012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4462	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5013	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4463	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu5014	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4464	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	unclassified	Otu5015	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4465	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	Otu5016	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4466	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5017	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4467	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu5018	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4468	Bacteroidetes	Sphingobacteria	Sphingobacteriales	unclassified	unclassified	Otu5020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4469	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu5022	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4470	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Otu5023	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4471	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu5024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4472	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	unclassified	Otu5025	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4473	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Otu5027	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4474	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Streptomycineae	Otu5028	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu4475	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4476	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4477	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	Terrimonas	Otu5035	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4478	Chloroflexi	KD4-96	unclassified	unclassified	unclassified	Otu5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu4479	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5039	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4480	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Otu5040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4481	Actinobacteria	Actinobacteria	Acidimicrobidae	Acidimicrobiales	Acidimicrobineae	Otu5041	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4482	unclassified	unclassified	unclassified	unclassified	unclassified	Otu5042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4483	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu5043	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4484	Verrucomicrobia	Spartobacteria	DA101	unclassified	unclassified	Otu5046	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu4485	Actinobacteria	Actinobacteria	Rubrobacteridae	AKIW543	unclassified	Otu5047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu4486	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Solibacter	Otu5048	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
